GEO_ID,NAME,year,total_renters_count,GRAPI_under_15_count,GRAPI_15_to_19.9_count,GRAPI_20_to_24.9_count,GRAPI_25_to_29.9_count,GRAPI_30_to_35_count,GRAPI_35_or_greater_count,GRAPI_unknown_count
1400000US06013301000,Census Tract 3010; Contra Costa County; California,2010,20,0,76,0,105,53,,
1400000US06013302005,Census Tract 3020.05; Contra Costa County; California,2010,0,26,76,53,328,40,,
1400000US06013302006,Census Tract 3020.06; Contra Costa County; California,2010,23,14,12,13,37,0,,
1400000US06013302007,Census Tract 3020.07; Contra Costa County; California,2010,90,68,15,64,381,77,,
1400000US06013302008,"Census Tract 3020.08, Contra Costa County, California",2010,0,76,40,18,228,30,,
1400000US06013302009,Census Tract 3020.09; Contra Costa County; California,2010,0,126,7,131,104,0,,
1400000US06013302010,"Census Tract 3020.10, Contra Costa County, California",2010,0,15,92,39,239,0,,
1400000US06013303102,"Census Tract 3031.02, Contra Costa County, California",2010,80,87,71,12,294,11,,
1400000US06013303103,"Census Tract 3031.03, Contra Costa County, California",2010,94,151,229,71,449,70,,
1400000US06013303201,"Census Tract 3032.01, Contra Costa County, California",2010,157,59,10,83,252,13,,
1400000US06013303202,Census Tract 3032.02; Contra Costa County; California,2010,0,9,0,63,42,14,,
1400000US06013303203,"Census Tract 3032.03, Contra Costa County, California",2010,0,0,48,36,173,0,,
1400000US06013303204,Census Tract 3032.04; Contra Costa County; California,2010,28,34,0,22,75,0,,
1400000US06013303205,"Census Tract 3032.05, Contra Costa County, California",2010,40,21,60,64,173,70,,
1400000US06013304001,Census Tract 3040.01; Contra Costa County; California,2010,0,27,11,0,68,0,,
1400000US06013304002,Census Tract 3040.02; Contra Costa County; California,2010,24,0,8,0,24,11,,
1400000US06013304003,Census Tract 3040.03; Contra Costa County; California,2010,0,15,31,31,89,41,,
1400000US06013304004,Census Tract 3040.04; Contra Costa County; California,2010,86,0,0,0,74,12,,
1400000US06013304005,"Census Tract 3040.05, Contra Costa County, California",2010,27,129,0,0,91,0,,
1400000US06013305000,Census Tract 3050; Contra Costa County; California,2010,125,161,286,125,605,23,,
1400000US06013306002,Census Tract 3060.02; Contra Costa County; California,2010,0,5,14,34,134,0,,
1400000US06013306003,Census Tract 3060.03; Contra Costa County; California,2010,14,60,117,150,262,82,,
1400000US06013306004,Census Tract 3060.04; Contra Costa County; California,2010,39,78,12,35,333,53,,
1400000US06013307101,Census Tract 3071.01; Contra Costa County; California,2010,22,34,24,48,266,23,,
1400000US06013307102,Census Tract 3071.02; Contra Costa County; California,2010,23,78,58,27,308,0,,
